title,url,image_url,price,rating,reviews,brand,badges,asin,is_sponsored,scrape_date
11.8 inches Teddy Bear Stuffed Animals Soft Plush Cute Teddy Bear with Hoodie Doll for Boys Girls (Blue),https://www.amazon.com/inches-Teddy-Stuffed-Animals-Hoodie/dp/B0BYSN5H82/ref=sr_1_12?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-12,https://m.media-amazon.com/images/I/61P3BvPUI0L._AC_UL320_.jpg,0.0,4.3,443,11.8,Unknown,B0BYSN5H82,True,2025-04-08
"Official Toy Story Plush, Bullseye, Iconic Cuddly Toy Character with Embroidered Eyes and Soft Plush Features, Suitable for All Ages",https://www.amazon.com/DISNEY-STORE-Official-Character-Embroidered/dp/B0CHZB2JK8/ref=sr_1_13?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-13,https://m.media-amazon.com/images/I/61jP5N-ZDzL._AC_UL320_.jpg,0.0,4.8,3348,Official,Unknown,B0CHZB2JK8,True,2025-04-08
"KIDS PREFERRED Disney Baby Lilo & Stitch Angel Soft Huggable Stuffed Animal Cute Plush Toy for Toddler Boys and Girls, Gift for Kids, Pink Angel 16 Inches",https://www.amazon.com/KIDS-PREFERRED-Huggable-Stuffed-Toddler/dp/B0C7F1K558/ref=sr_1_18?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-18,https://m.media-amazon.com/images/I/61VuHyaZ-xL._AC_UL320_.jpg,20.99,4.8,728,KIDS,Unknown,B0C7F1K558,True,2025-04-08
"Creative Minds Basket of Babies Soft Baby Dolls, Sensory Toys, Multicultural, Diversity, Inclusion and Social Emotional Learning, Baby Toys for All Ages, Set of 6 Plush Dolls, Multicolor",https://www.amazon.com/Minds-Multi-Cultural-Diversity-Emotional-Multicolor/dp/B0008ELXRM/ref=sr_1_19?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-19,https://m.media-amazon.com/images/I/713oVar4Z6L._AC_UL320_.jpg,31.74,4.8,4886,Creative,Unknown,B0008ELXRM,True,2025-04-08
"6 Piece Jumbo Dinosaur Toys for Kids and Toddlers, Dinosaur Toys for Kids 3-5, Large Soft Dinosaur Toys for Dinosaur Lovers - Perfect Dinosaur Party Favors, Birthday Gifts",https://www.amazon.com/Dinosaur-Toddlers-Jurassic-Triceratops-Lovers/dp/B08FMB1TGS/ref=sr_1_20?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-20,https://m.media-amazon.com/images/I/81Pgxw2JezL._AC_UL320_.jpg,0.0,4.6,8469,6,Unknown,B08FMB1TGS,True,2025-04-08
"GUND Official PAW Patrol Skye in Signature Aviator Pilot Uniform Plush Toy, Stuffed Animal for Ages 1 and Up, 6"" (Styles May Vary)",https://www.amazon.com/GUND-Patrol-Signature-Aviator-Uniform/dp/B08FCRNDW9/ref=sr_1_21?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-21,https://m.media-amazon.com/images/I/816HIDFwhUL._AC_UL320_.jpg,7.99,4.7,2106,GUND,Unknown,B08FCRNDW9,True,2025-04-08
"GUND Sesame Street Official Elmo Muppet Plush, Premium Plush Toy for Ages 1 & Up, Red, 13”",https://www.amazon.com/GUND-Sesame-Street-Elmo-Plush/dp/B0001NE4VC/ref=sr_1_26?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-26,https://m.media-amazon.com/images/I/81RyI232r4L._AC_UL320_.jpg,24.81,4.8,23824,GUND,Unknown,B0001NE4VC,True,2025-04-08
"JOYIN Cartoon Cars, Soft Rubber Toy Car Set, Mini Vehicles, Bath Toy Car for Toddlers, Gift for Boys and Girls Easter Basket Stuffers, Summer Beach and Pool Activity, Party Favors for Kids",https://www.amazon.com/JOYIN-Vehicles-Toddlers-Christmas-Birthday/dp/B0B9HS1298/ref=sr_1_27?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-27,https://m.media-amazon.com/images/I/81teQgbAEGL._AC_UL320_.jpg,0.0,4.8,1068,JOYIN,Unknown,B0B9HS1298,True,2025-04-08
"GUND Designer Pups Collection Nayla Cockapoo Puppy Plush Toy for Ages 1 and Up, 10.5”",https://www.amazon.com/GUND-Nayla-Cockapoo-Stuffed-Animal/dp/B004MFVL34/ref=sr_1_28?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-28,https://m.media-amazon.com/images/I/71++bgxzBJL._AC_UL320_.jpg,24.99,4.7,9484,GUND,Unknown,B004MFVL34,True,2025-04-08
"B. toys- B. softies-12"" Plush Dog - Huggable Dog Stuffed Animal Toy – Soft & Cuddly Plush Puppy – Washable – Babies, Toddlers, Kids- Happy Hues- Cupcake Pup- 0 Months +",https://www.amazon.com/B-toys-softies-12-Plush-Dog/dp/B07VB54CJG/ref=sr_1_29?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-29,https://m.media-amazon.com/images/I/71oq6uMFR-L._AC_UL320_.jpg,11.95,4.8,11305,B.,Unknown,B07VB54CJG,True,2025-04-08
